Rms_x,Rms_y,Rms_z
0.16427570272114403,0.19952626312056265,0.17490331141371177
0.07100830747581814,0.08203978938571391,0.07445703741468163
0.01739155773197887,0.013497185479116835,0.01973306228465785
0.2665811196488021,0.2564939424303502,0.2497903581951892
0.08062217809215047,0.08524719293144153,0.08807660952284312
0.15328284824604643,0.17737404697131523,0.13727729207682685
0.07744808174024466,0.07896652588497896,0.07595225996232222
0.029279085657273787,0.02512833862509942,0.03896972389080426
0.23341127893439784,0.19717588850499998,0.1802686380346063
0.023635632520985304,0.022819980101926412,0.03058529622046396
0.18229772599765462,0.16424604019989428,0.15036164748124659
0.1119207931424087,0.12158617052614328,0.10623983935570964
0.13194921801639892,0.14019508446411247,0.146759454767363
0.14923462326096237,0.15623602856018573,0.1422960065384535
0.1416815827940799,0.172076996850173,0.13614954487713732
0.09882759167022333,0.09060821269729663,0.0979697827455178
0.08570279537376038,0.08516973956727725,0.08631654281652744
0.13990696219202012,0.12280046307465492,0.10811792843733102
